"","node","cluster"
"128","HORVU.MOREX.r2.3HG0206370",15
"129","HORVU.MOREX.r2.2HG0143470",15
"130","HORVU.MOREX.r2.7HG0545260",15
"131","HORVU.MOREX.r2.1HG0034280",15
"132","HORVU.MOREX.r2.1HG0068840",15
"133","HORVU.MOREX.r2.7HG0599010",15
"134","HORVU.MOREX.r2.5HG0429700",15
"135","HORVU.MOREX.r2.3HG0240030",15
"136","HORVU.MOREX.r2.4HG0281540",15
"137","HORVU.MOREX.r2.6HG0476220",15
"138","HORVU.MOREX.r2.2HG0146410",15
"139","HORVU.MOREX.r2.2HG0149890",15
"140","HORVU.MOREX.r2.2HG0155090",15
"141","HORVU.MOREX.r2.1HG0000740",15
"142","HORVU.MOREX.r2.7HG0557110",15
"143","HORVU.MOREX.r2.5HG0424570",15
"144","HORVU.MOREX.r2.7HG0529000",15
"145","HORVU.MOREX.r2.1HG0044330",15
"146","HORVU.MOREX.r2.1HG0037240",15
"147","HORVU.MOREX.r2.5HG0423660",15
"148","HORVU.MOREX.r2.4HG0291500",15
"149","HORVU.MOREX.r2.6HG0450880",15
"150","HORVU.MOREX.r2.3HG0202690",15
"151","HORVU.MOREX.r2.5HG0349820",15
"152","HORVU.MOREX.r2.6HG0516170",15
"153","HORVU.MOREX.r2.3HG0202960",15
"154","HORVU.MOREX.r2.7HG0557080",15
"155","HORVU.MOREX.r2.1HG0021280",15
"156","HORVU.MOREX.r2.7HG0606680",15
"157","HORVU.MOREX.r2.6HG0449480",15
"158","HORVU.MOREX.r2.2HG0157420",15
"159","HORVU.MOREX.r2.3HG0232250",15
"160","HORVU.MOREX.r2.5HG0389750",2
"161","HORVU.MOREX.r2.2HG0117650",15
"162","HORVU.MOREX.r2.1HG0070410",15
"163","HORVU.MOREX.r2.7HG0555440",11
"164","HORVU.MOREX.r2.6HG0490990",15
"165","HORVU.MOREX.r2.4HG0323930",15
"166","HORVU.MOREX.r2.3HG0264820",15
"167","HORVU.MOREX.r2.6HG0512750",11
"168","HORVU.MOREX.r2.2HG0079060",11
"169","HORVU.MOREX.r2.3HG0201110",15
"170","HORVU.MOREX.r2.2HG0141910",15
"171","HORVU.MOREX.r2.4HG0278220",2
"172","HORVU.MOREX.r2.6HG0484350",8
"173","HORVU.MOREX.r2.6HG0476720",15
"174","HORVU.MOREX.r2.4HG0281500",15
"175","HORVU.MOREX.r2.3HG0273830",15
"176","HORVU.MOREX.r2.4HG0348680",2
"177","HORVU.MOREX.r2.2HG0138120",15
"178","HORVU.MOREX.r2.3HG0182640",15
"179","HORVU.MOREX.r2.7HG0588100",15
"180","HORVU.MOREX.r2.5HG0414270",15
"181","HORVU.MOREX.r2.4HG0343360",15
"182","HORVU.MOREX.r2.5HG0385110",11
"183","HORVU.MOREX.r2.4HG0281100",2
"184","HORVU.MOREX.r2.6HG0456210",15
"185","HORVU.MOREX.r2.6HG0476190",15
"186","HORVU.MOREX.r2.3HG0257810",15
"187","HORVU.MOREX.r2.1HG0033820",15
"188","HORVU.MOREX.r2.2HG0168500",11
"189","HORVU.MOREX.r2.5HG0349810",15
"190","HORVU.MOREX.r2.4HG0321420",15
"191","HORVU.MOREX.r2.5HG0390690",15
"192","HORVU.MOREX.r2.4HG0277550",15
"193","HORVU.MOREX.r2.6HG0449580",15
"194","HORVU.MOREX.r2.2HG0151890",15
"195","HORVU.MOREX.r2.4HG0281530",15
"196","HORVU.MOREX.r2.1HG0051870",11
"197","HORVU.MOREX.r2.7HG0583590",15
"198","HORVU.MOREX.r2.4HG0298100",15
"199","HORVU.MOREX.r2.6HG0473310",15
"200","HORVU.MOREX.r2.6HG0491140",11
"201","HORVU.MOREX.r2.1HG0077180",15
"202","HORVU.MOREX.r2.4HG0328220",15
"203","HORVU.MOREX.r2.6HG0457460",15
"204","HORVU.MOREX.r2.2HG0137930",15
"205","HORVU.MOREX.r2.3HG0234870",15
"206","HORVU.MOREX.r2.1HG0042180",15
"207","HORVU.MOREX.r2.6HG0497950",15
"208","HORVU.MOREX.r2.3HG0187370",11
"209","HORVU.MOREX.r2.2HG0171110",11
"210","HORVU.MOREX.r2.5HG0445510",15
"211","HORVU.MOREX.r2.6HG0518380",15
"212","HORVU.MOREX.r2.4HG0285910",2
"213","HORVU.MOREX.r2.7HG0617870",15
"214","HORVU.MOREX.r2.1HG0025520",15
"215","HORVU.MOREX.r2.6HG0486440",15
"216","HORVU.MOREX.r2.2HG0160590",15
"217","HORVU.MOREX.r2.6HG0473200",15
"218","HORVU.MOREX.r2.3HG0228420",15
"219","HORVU.MOREX.r2.5HG0392210",15
"220","HORVU.MOREX.r2.3HG0189240",15
"221","HORVU.MOREX.r2.6HG0507640",15
"222","HORVU.MOREX.r2.4HG0331120",2
"223","HORVU.MOREX.r2.7HG0534430",15
"224","HORVU.MOREX.r2.3HG0200760",15
"225","HORVU.MOREX.r2.2HG0111520",15
"226","HORVU.MOREX.r2.4HG0279230",15
"227","HORVU.MOREX.r2.1HG0020140",15
"228","HORVU.MOREX.r2.3HG0183480",15
"229","HORVU.MOREX.r2.4HG0339130",11
"230","HORVU.MOREX.r2.4HG0326810",15
"231","HORVU.MOREX.r2.5HG0404510",11
"232","HORVU.MOREX.r2.7HG0584830",15
"233","HORVU.MOREX.r2.6HG0523500",11
"234","HORVU.MOREX.r2.6HG0506710",15
"235","HORVU.MOREX.r2.7HG0589750",15
"236","HORVU.MOREX.r2.6HG0459740",15
"237","HORVU.MOREX.r2.6HG0513560",15
"238","HORVU.MOREX.r2.7HG0532120",15
"239","HORVU.MOREX.r2.5HG0349490",15
"240","HORVU.MOREX.r2.5HG0411430",15
"241","HORVU.MOREX.r2.1HG0057800",11
"242","HORVU.MOREX.r2.4HG0332690",15
"243","HORVU.MOREX.r2.1HG0006050",15
"244","HORVU.MOREX.r2.7HG0542470",15
"245","HORVU.MOREX.r2.2HG0148770",15
"246","HORVU.MOREX.r2.2HG0157340",15
"247","HORVU.MOREX.r2.2HG0117130",11
"248","HORVU.MOREX.r2.3HG0247680",15
"249","HORVU.MOREX.r2.7HG0558270",15
"250","HORVU.MOREX.r2.3HG0187720",15
"251","HORVU.MOREX.r2.5HG0424900",15
"252","HORVU.MOREX.r2.7HG0610610",15
"253","HORVU.MOREX.r2.4HG0321550",15
"254","HORVU.MOREX.r2.5HG0401430",15
"255","HORVU.MOREX.r2.UnG0631660",15
"256","HORVU.MOREX.r2.6HG0513540",15
"257","HORVU.MOREX.r2.5HG0411330",15
"258","HORVU.MOREX.r2.3HG0275770",15
"259","HORVU.MOREX.r2.3HG0195880",11
"260","HORVU.MOREX.r2.3HG0192580",15
"261","HORVU.MOREX.r2.2HG0155060",15
"262","HORVU.MOREX.r2.3HG0264880",15
"263","HORVU.MOREX.r2.4HG0295780",11
"264","HORVU.MOREX.r2.5HG0363660",2
"265","HORVU.MOREX.r2.6HG0493980",15
"266","HORVU.MOREX.r2.6HG0469000",8
"267","HORVU.MOREX.r2.7HG0608370",2
"268","HORVU.MOREX.r2.2HG0172010",2
"269","HORVU.MOREX.r2.6HG0469030",8
"270","HORVU.MOREX.r2.5HG0373900",8
"271","HORVU.MOREX.r2.1HG0076500",11
"272","HORVU.MOREX.r2.3HG0226490",11
"273","HORVU.MOREX.r2.7HG0551550",2
"274","HORVU.MOREX.r2.1HG0017530",8
"275","HORVU.MOREX.r2.7HG0551540",2
"276","HORVU.MOREX.r2.7HG0551570",2
"277","HORVU.MOREX.r2.3HG0256310",2
"278","HORVU.MOREX.r2.1HG0052310",2
"279","HORVU.MOREX.r2.5HG0434930",13
"280","HORVU.MOREX.r2.5HG0411360",13
"281","HORVU.MOREX.r2.4HG0332970",8
"282","HORVU.MOREX.r2.6HG0467890",13
"283","HORVU.MOREX.r2.7HG0602880",8
"284","HORVU.MOREX.r2.7HG0592250",13
"285","HORVU.MOREX.r2.4HG0308580",13
"286","HORVU.MOREX.r2.2HG0141080",13
"287","HORVU.MOREX.r2.1HG0023540",13
"288","HORVU.MOREX.r2.7HG0538650",8
"289","HORVU.MOREX.r2.2HG0101410",13
"290","HORVU.MOREX.r2.7HG0549490",13
"291","HORVU.MOREX.r2.2HG0129920",8
"292","HORVU.MOREX.r2.4HG0332910",8
"293","HORVU.MOREX.r2.2HG0158670",13
"294","HORVU.MOREX.r2.7HG0544550",13
"295","HORVU.MOREX.r2.5HG0374940",13
"296","HORVU.MOREX.r2.6HG0520000",13
"297","HORVU.MOREX.r2.1HG0056110",13
"298","HORVU.MOREX.r2.2HG0084300",8
"299","HORVU.MOREX.r2.6HG0478760",13
"300","HORVU.MOREX.r2.5HG0382390",13
"301","HORVU.MOREX.r2.5HG0415950",8
"302","HORVU.MOREX.r2.2HG0161350",8
"303","HORVU.MOREX.r2.4HG0338920",8
"304","HORVU.MOREX.r2.1HG0074920",13
"305","HORVU.MOREX.r2.6HG0515910",13
"306","HORVU.MOREX.r2.7HG0558720",13
"307","HORVU.MOREX.r2.5HG0444970",8
"308","HORVU.MOREX.r2.1HG0042030",8
"309","HORVU.MOREX.r2.4HG0280050",13
"310","HORVU.MOREX.r2.7HG0597220",13
"311","HORVU.MOREX.r2.1HG0044870",8
"312","HORVU.MOREX.r2.7HG0541070",13
"313","HORVU.MOREX.r2.4HG0344760",13
"314","HORVU.MOREX.r2.5HG0409440",8
"315","HORVU.MOREX.r2.7HG0588640",13
"316","HORVU.MOREX.r2.2HG0088730",13
