"X","gene","timepoint"
119,"HORVU.MOREX.r2.1HG0056100","32H"
120,"HORVU.MOREX.r2.7HG0527940","32H"
121,"HORVU.MOREX.r2.1HG0048050","32H"
122,"HORVU.MOREX.r2.4HG0341380","32H"
123,"HORVU.MOREX.r2.5HG0367130","32H"
124,"HORVU.MOREX.r2.6HG0494790","32H"
125,"HORVU.MOREX.r2.5HG0429140","32H"
126,"HORVU.MOREX.r2.2HG0140540","32H"
127,"HORVU.MOREX.r2.4HG0333900","32H"
128,"HORVU.MOREX.r2.4HG0288270","32H"
129,"HORVU.MOREX.r2.3HG0200630","32H"
130,"HORVU.MOREX.r2.7HG0587540","32H"
131,"HORVU.MOREX.r2.2HG0113790","32H"
132,"HORVU.MOREX.r2.2HG0158860","32H"
133,"HORVU.MOREX.r2.5HG0414180","32H"
134,"HORVU.MOREX.r2.UnG0631950","32H"
135,"HORVU.MOREX.r2.2HG0081860","32H"
136,"HORVU.MOREX.r2.UnG0627890","32H"
137,"HORVU.MOREX.r2.4HG0313920","32H"
138,"HORVU.MOREX.r2.2HG0169890","32H"
139,"HORVU.MOREX.r2.7HG0553660","32H"
140,"HORVU.MOREX.r2.1HG0012650","32H"
141,"HORVU.MOREX.r2.1HG0049750","32H"
142,"HORVU.MOREX.r2.5HG0415550","32H"
143,"HORVU.MOREX.r2.1HG0068680","32H"
144,"HORVU.MOREX.r2.4HG0321070","32H"
145,"HORVU.MOREX.r2.3HG0232280","32H"
146,"HORVU.MOREX.r2.7HG0589510","32H"
147,"HORVU.MOREX.r2.6HG0501180","32H"
148,"HORVU.MOREX.r2.3HG0194810","32H"
149,"HORVU.MOREX.r2.7HG0609340","32H"
150,"HORVU.MOREX.r2.7HG0592670","32H"
151,"HORVU.MOREX.r2.3HG0263610","32H"
152,"HORVU.MOREX.r2.7HG0601560","32H"
153,"HORVU.MOREX.r2.4HG0315870","32H"
154,"HORVU.MOREX.r2.4HG0286680","32H"
155,"HORVU.MOREX.r2.5HG0358040","32H"
156,"HORVU.MOREX.r2.1HG0066830","32H"
157,"HORVU.MOREX.r2.7HG0615730","32H"
158,"HORVU.MOREX.r2.1HG0025270","32H"
159,"HORVU.MOREX.r2.5HG0386630","32H"
160,"HORVU.MOREX.r2.5HG0435410","32H"
161,"HORVU.MOREX.r2.7HG0615620","32H"
162,"HORVU.MOREX.r2.4HG0326240","32H"
163,"HORVU.MOREX.r2.5HG0388420","32H"
164,"HORVU.MOREX.r2.2HG0136060","32H"
165,"HORVU.MOREX.r2.7HG0561080","32H"
166,"HORVU.MOREX.r2.4HG0276080","32H"
167,"HORVU.MOREX.r2.2HG0154140","32H"
168,"HORVU.MOREX.r2.5HG0413530","32H"
169,"HORVU.MOREX.r2.3HG0193550","32H"
170,"HORVU.MOREX.r2.5HG0363290","32H"
171,"HORVU.MOREX.r2.3HG0194540","32H"
172,"HORVU.MOREX.r2.5HG0406690","32H"
173,"HORVU.MOREX.r2.5HG0352330","32H"
174,"HORVU.MOREX.r2.2HG0169360","32H"
175,"HORVU.MOREX.r2.7HG0603930","32H"
176,"HORVU.MOREX.r2.4HG0284370","32H"
177,"HORVU.MOREX.r2.1HG0057800","32H"
178,"HORVU.MOREX.r2.5HG0402660","32H"
179,"HORVU.MOREX.r2.3HG0266100","32H"
180,"HORVU.MOREX.r2.1HG0022990","32H"
181,"HORVU.MOREX.r2.2HG0118680","32H"
182,"HORVU.MOREX.r2.7HG0529250","32H"
183,"HORVU.MOREX.r2.7HG0579770","32H"
184,"HORVU.MOREX.r2.1HG0014980","32H"
